['5789',2]
['5790',3]
['5791',3]
['5792',2]
['5793',1]
['5794',2]
['5795',1]
['5796',3]
['5797',0]
['5798',2]
['5799',2]
['5800',1]
['5801',2]
['5802',2]
['5803',2]
['5804',4]
['5805',3]
['5806',3]
['5807',3]
['5808',2]
['5809',2]
['5810',2]
['5811',2]
['5812',4]
['5813',2]
['5814',2]
['5815',2]
['5816',2]
['5817',5]
['5818',4]
['5819',3]
['5820',2]
['5821',3]
['5822',2]
['5823',2]
['5824',2]
['5825',2]
['5826',3]
['5827',0]
['5828',2]
['5829',2]
['5830',2]
['5831',3]
['5832',2]
['5833',3]
['5834',2]
['5835',2]
['5836',2]
['5837',2]
['5838',2]
['5839',2]
['5840',2]
['5841',2]
['5842',2]
['5843',2]
['5844',2]
['5845',2]
['5846',2]
['5847',2]
['5848',2]
['5849',2]
['5850',2]
['5851',0]
['5852',2]
['5853',0]
['5854',2]
['5855',2]
['5856',2]
['5857',2]
['5858',2]
['5859',3]
['5860',2]
['5861',2]
['5862',2]
['5863',2]
['5864',1]
['5865',2]
['5866',2]
['5867',2]
['5868',2]
['5869',4]
['5870',3]
['5871',2]
['5872',4]
['5873',4]
['5874',2]
['5875',4]
['5876',2]
['5877',2]
['5878',2]
['5879',3]
['5880',4]
['5881',2]
['5882',2]
['5883',2]
['5884',2]
['5885',1]
['5886',2]
['5887',4]
['5888',3]
['5889',2]
['5890',3]
['5891',0]
['5892',3]
['5893',3]
['5894',2]
['5895',2]
['5896',2]
['5897',2]
['5898',2]
['5899',2]
['5900',2]
['5901',2]
['5902',2]
['5903',2]
['5904',3]
['5905',2]
['5906',2]
['5907',1]
['5908',1]
['5909',2]
['5910',2]
['5911',2]
['5912',2]
['5913',4]
['5914',3]
['5915',1]
['5916',1]
['5917',1]
['5918',0]
['5919',0]
['5920',3]
['5921',3]
['5922',4]
['5923',2]
['5924',4]
['5925',4]
['5926',2]
['5927',2]
['5928',3]
['5929',3]
['5930',1]
['5931',2]
['5932',2]
['5933',4]
['5934',2]
['5935',2]
['5936',2]
['5937',2]
['5938',2]
['5939',2]
['5940',3]
['5941',4]
['5942',2]
['5943',4]
['5944',2]
['5945',2]
['5946',3]
['5947',2]
['5948',1]
['5949',2]
['5950',2]
['5951',2]
['5952',4]
['5953',3]
['5954',2]
['5955',3]
['5956',4]
['5957',4]
['5958',4]
['5959',1]
['5960',3]
['5961',3]
['5962',4]
['5963',2]
['5964',2]
['5965',2]
['5966',2]
['5967',1]
['5968',2]
['5969',3]
['5970',2]
['5971',2]
['5972',2]
['5973',2]
['5974',2]
['5975',2]
['5976',3]
['5977',3]
['5978',2]
['5979',3]
['5980',4]
['5981',2]
['5982',3]
['5983',3]
['5984',3]
['5985',2]
['5986',3]
['5987',2]
['5988',3]
['5989',2]
['5990',4]
['5991',2]
['5992',5]
['5993',4]
['5994',2]
['5995',2]
['5996',2]
['5997',4]
['5998',2]
['5999',4]
['6000',2]
['6001',2]
['6002',2]
['6003',2]
['6004',2]
['6005',3]
['6006',0]
['6007',2]
['6008',2]
['6009',2]
['6010',2]
['6011',2]
['6012',2]
['6013',2]
['6014',2]
['6015',2]
['6016',0]
['6017',1]
['6018',1]
['6019',1]
['6020',2]
['6021',2]
['6022',2]
['6023',1]
['6024',2]
['6025',3]
['6026',2]
['6027',2]
['6028',2]
['6029',2]
['6030',3]
['6031',2]
['6032',3]
['6033',2]
['6034',3]
['6035',2]
['6036',3]
['6037',2]
['6038',2]
['6039',2]
['6040',2]
['6041',2]
['6042',2]
['6043',2]
['6044',2]
['6045',2]
['6046',2]
['6047',2]
['6048',2]
['6049',3]
['6050',2]
['6051',2]
['6052',4]
['6053',1]
['6054',2]
['6055',3]
['6056',2]
['6057',2]
['6058',2]
['6059',2]
['6060',2]
['6061',2]
['6062',2]
['6063',3]
['6064',2]
['6065',3]
['6066',1]
['6067',2]
['6068',4]
['6069',2]
['6070',2]
['6071',1]
['6072',2]
['6073',4]
['6074',2]
['6075',2]
['6076',2]
['6077',2]
['6078',3]
['6079',4]
['6080',2]
['6081',0]
['6082',2]
['6083',2]
['6084',2]
['6085',2]
['6086',1]
['6087',2]
['6088',2]
['6089',0]
['6090',2]
['6091',0]
['6092',0]
['6093',2]
['6094',3]
['6095',4]
['6096',2]
['6097',1]
['6098',2]
['6099',3]
['6100',2]
['6101',4]
['6102',4]
['6103',3]
['6104',5]
['6105',2]
['6106',2]
['6107',2]
['6108',2]
['6109',2]
['6110',2]
['6111',4]
['6112',2]
['6113',3]
['6114',2]
['6115',2]
['6116',2]
['6117',2]
['6118',2]
['6119',2]
['6120',2]
['6121',2]
['6122',2]
['6123',2]
['6124',2]
['6125',2]
['6126',3]
['6127',3]
['6128',2]
['6129',2]
['6130',2]
['6131',2]
['6132',2]
['6133',2]
['6134',2]
['6135',2]
['6136',2]
['6137',2]
['6138',2]
['6139',2]
['6140',2]
['6141',2]
['6142',2]
['6143',3]
['6144',3]
['6145',2]
['6146',2]
['6147',3]
['6148',3]
['6149',3]
['6150',2]
['6151',2]
['6152',2]
['6153',3]
['6154',2]
['6155',2]
['6156',2]
['6157',2]
['6158',4]
['6159',2]
['6160',2]
['6161',2]
['6162',2]
['6163',2]
['6164',0]
['6165',2]
['6166',2]
['6167',2]
['6168',2]
['6169',2]
['6170',2]
['6171',2]
['6172',1]
['6173',1]
['6174',0]
['6175',2]
['6176',2]
['6177',3]
['6178',2]
['6179',3]
['6180',3]
['6181',3]
['6182',2]
['6183',2]
['6184',2]
['6185',2]
['6186',2]
['6187',2]
['6188',2]
['6189',2]
['6190',2]
['6191',2]
['6192',0]
['6193',2]
['6194',2]
['6195',2]
['6196',2]
['6197',2]
